from_plate,from_well,source,volume_ul,plate,volume_well,nrow,ncol,volume_holdover,volume_usable,volume_user_input
ivl_384_flat_v1_0001,1.0,CS031,48.0,ivl_384_flat_v1,90,16,24,40,50,88.0
ivl_384_flat_v1_0001,3.0,CS033,48.0,ivl_384_flat_v1,90,16,24,40,50,88.0
ivl_96_dw_v1_0001,1.0,ABI-131-N1,600.0,ivl_96_dw_v1,1000,8,12,60,940,660.0
ivl_96_dw_v1_0001,2.0,ABI-131-P1,600.0,ivl_96_dw_v1,1000,8,12,60,940,660.0
ivl_96_dw_v1_0001,3.0,D001-N1,600.0,ivl_96_dw_v1,1000,8,12,60,940,660.0
ivl_96_dw_v1_0001,4.0,D001-P1,600.0,ivl_96_dw_v1,1000,8,12,60,940,660.0
ivl_96_dw_v1_0001,5.0,D002-N1,600.0,ivl_96_dw_v1,1000,8,12,60,940,660.0
ivl_96_dw_v1_0001,6.0,D002-P1,600.0,ivl_96_dw_v1,1000,8,12,60,940,660.0
ivl_96_dw_v1_0001,7.0,D003-N1,600.0,ivl_96_dw_v1,1000,8,12,60,940,660.0
ivl_96_dw_v1_0001,8.0,D003-P1,600.0,ivl_96_dw_v1,1000,8,12,60,940,660.0
ivl_96_dw_v1_0001,9.0,D004-N1,600.0,ivl_96_dw_v1,1000,8,12,60,940,660.0
ivl_96_dw_v1_0001,10.0,D004-P1,600.0,ivl_96_dw_v1,1000,8,12,60,940,660.0
ivl_96_dw_v1_0001,11.0,R007-N1,600.0,ivl_96_dw_v1,1000,8,12,60,940,660.0
ivl_96_dw_v1_0001,12.0,R007-P1,600.0,ivl_96_dw_v1,1000,8,12,60,940,660.0
